date,time,sport,channel,comp,ht,at
2025-06-14,12:30AM,Basketball,BeIn Sports HD 1 France,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TNT Sports 1,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Canal + Sport Polska,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Cosmote Sport 4 GR,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Austria,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Germany,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Diema Sport 2 BG,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN 1 Netherlands,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN 2 Honduras,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN 2 Nicaragua,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN 4 Netherlands,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN Australia,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Colombia,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Deportes,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN New Zealand,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Paraguay,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN South Africa,NBA Cup,Indiana Pacers,Oklahoma City Thunder
2025-06-14,6:30AM,Basketball,Sky Sport 4 NZ,New Zealand NBL,Wellington Saints,Auckland Tuatara
2025-06-14,5:50PM,Basketball,Polsat Sport,Polish Basketball League,Legia Warszawa,Start Lublin
2025-06-14,7:00PM,Basketball,FOX Sports 2 Argentina,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Movistar #Vamos,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Movistar Deportes,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:10PM,Basketball,Sport 3 IL,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Sport Klub 3 HR,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Sport Klub 3 RS,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Sport Klub 3 SI,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:10PM,Basketball,Go3 Sport 3 LV,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Arena Sport 2 Premium RS,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Cosmote Sport 7 GR,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Diema Sport 2 BG,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:15PM,Basketball,Eleven Sports 1 Portugal,Spanish Liga ACB,CB 1939 Canarias,Valencia Basket
2025-06-14,7:00PM,Basketball,Fox Sports 1 BR,WNBA,Indiana Fever,New York Liberty
2025-06-14,7:00PM,Basketball,SportsNet 360,WNBA,Indiana Fever,New York Liberty
2025-06-14,7:00PM,Basketball,ABC,WNBA,Indiana Fever,New York Liberty
2025-06-14,7:00PM,Basketball,AFN Sports 2,WNBA,Indiana Fever,New York Liberty
2025-06-14,7:00PM,Basketball,ESPN +,WNBA,Indiana Fever,New York Liberty
2025-06-14,7:00PM,Basketball,ESPN Australia,WNBA,Indiana Fever,New York Liberty
2025-06-14,7:00PM,Basketball,ESPN Deportes,WNBA,Indiana Fever,New York Liberty
2025-06-14,7:00PM,Basketball,ESPN New Zealand,WNBA,Indiana Fever,New York Liberty
2025-06-14,5:00PM,Basketball,Go3 Sport Open,WNBA,Minnesota Lynx,Los Angeles Sparks
2025-06-14,5:00PM,Basketball,AFN Sports 2,WNBA,Minnesota Lynx,Los Angeles Sparks
2025-06-14,5:45PM,Basketball,TNT Sports 2,WNBA,Minnesota Lynx,Los Angeles Sparks
2025-06-14,5:00PM,Basketball,CBS,WNBA,Minnesota Lynx,Los Angeles Sparks
2025-06-15,5:30AM,Basketball,Sky Sport 4 NZ,Australian NBL,Southland Sharks,Franklin Bulls
2025-06-15,2:30PM,Basketball,Sport Klub 2 SI,French LNB,Paris Basketball,AS Monaco Basket
2025-06-15,2:30PM,Basketball,Sport Klub 3 HR,French LNB,Paris Basketball,AS Monaco Basket
2025-06-15,2:30PM,Basketball,Sport Klub 3 RS,French LNB,Paris Basketball,AS Monaco Basket
2025-06-15,2:30PM,Basketball,Arena Sport 3 Premium RS,French LNB,Paris Basketball,AS Monaco Basket
2025-06-15,5:30AM,Basketball,Sky Sport 4 NZ,New Zealand NBL,Southland Sharks,Franklin Bulls
2025-06-15,3:00PM,Basketball,Movistar Deportes,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,3:00PM,Basketball,Sport Klub 2 HR,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,3:00PM,Basketball,Sport Klub 2 RS,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,3:00PM,Basketball,Sport Klub 4 SI,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
2025-06-15,2:55PM,Basketball,Go3 Sport 3 LV,Spanish Liga ACB,Baloncesto Málaga,Real Madrid Baloncesto
