STG,TSDB
Lietuvos Rytas,BC Lietuvos rytas
Nymburk,Basketball Nymburk
Oostende,BC Oostende
Ostrow Wielkopolski,Stal Ostrów Wielkopolski
Szombathely,Falco KC
VEF Riga,BK VEF Rīga
Lietkabelis,BC Lietkabelis
Slask Wroclaw,Śląsk Wrocław
Zalgiris Kaunas,BC Žalgiris
Breidablik,Breiðablik
Grindavik,Grindavík
IR Reykjavik,ÍR
Keflavik,Keflavík
KR Basket,KR
Njardvik,Njarðvík
Stjarnan,Stjarnan
Thor AK Akureyri,Þór Akureyri
Thorl,Thor Thorl
Tindastoll,Tindastóll
Valur,Valur
Vestri,Vestri
Gargzdu,BC Gargždai-SC
Jonavos Sintek,BC Jonava
Juventus,BC Juventus
Neptunas,BC Neptūnas
Nevezis,BC Nevėžis
Pieno Zvaigzdes,BC Pieno žvaigždės
Labas Gas,BC Prienai
Siauliai,BC Šiauliai
BC Wolves,BC Wolves
Antwerp Giants,Antwerp Giants
Amsterdam,Apollo Amsterdam
Leeuwarden,Aris Leeuwarden
BAL Weert,BAL Weert
Belfius Mons,Belfius Mons-Hainaut
Den Helder,Den Helder Suns
Donar Groningen,Donar
Rotterdam,Feyenoord Basketball
Heroes Den Bosch,Heroes Den Bosch
Mechelen,Kangoeroes Mechelen
Zwolle,Landstede Hammers
Leuven Bears,Leuven Bears
Limburg,Limburg United
Okapi Aalstar,Okapi Aalstar
Phoenix Brussels,Phoenix Brussels
Spirou Charleroi,Spirou Charleroi
Hague,The Hague Royals
Liege,VOO Liège
Yoast Utd,Yoast United
Leiden,ZZ Leiden
Auckland Tuatara,Auckland Tuatara
Canterbury Rams,Canterbury Rams
Franklin Bulls,Franklin Bulls
Hawkes Bay Hawks,Bay Hawks
Manawatu Jets,Manawatu Jets
Nelson Giants,Nelson Giants
Otago Nuggets,Otago Nuggets
Southland Sharks,Southland Sharks
Taranaki Airs,Taranaki Mountainairs
Tauranga Whai,Whai
Gdynia,Arka Gdynia Basketball
Czarni Slupsk,Czarni Słupsk
Dziki Warszawa,Dziki Warszawa
GTK Gliwice,GTK Gliwice
Szczecin,King Szczecin
Anwil Wloclawek,KK Włocławek
Legia,Legia Warszawa
Dabrowa Gornicza,MKS Dąbrowa Górnicza
Lancut,Sokół Łańcut
Spojnia Stargard,Spójnia Stargard
Lublin,Start Lublin
Trefl Sopot,Trefl Sopot
Torun,Twarde Pierniki Toruń
Ironi Ramat-Gan,Maccabi Ironi Ramat Gan
Manisa,Manisa BB
Vechta,Rasta Vechta
Benfica,S.L. Benfica
Wellington Saints,Wellington Saints
Atlanta Dream W,Atlanta Dream
Chicago Sky W,Chicago Sky
Connecticut Sun W,Connecticut Sun
Dallas Wings W,Dallas Wings
Indiana Fever W,Indiana Fever
Las Vegas Aces W,Las Vegas Aces
Los Angeles Sparks W,Los Angeles Sparks
Minnesota Lynx W,Minnesota Lynx
New York Liberty W,New York Liberty
Phoenix Mercury W,Phoenix Mercury
Seattle Storm W,Seattle Storm
Washington Mystics W,Washington Mystics
Albania,Albania Basketball
Armenia,Armenia Basketball
Austria,Austria Basketball
Belarus,Belarus Basketball
Belgium,Belgium Basketball
Bosnia & Herzegovina,Bosnia-Herzegovina Basketball
Bulgaria,Bulgaria Basketball
Croatia,Croatia Basketball
Cyprus,Cyprus Basketball
Czech Republic,Czech Republic Basketball
Denmark,Denmark Basketball
Estonia,Estonia Basketball
Finland,Finland Basketball
France,France Basketball
FYR Macedonia,FYR Macedonia Basketball
Georgia,Georgia Basketball
Germany,Germany Basketball
Great Britain,Great Britain Basketball
Greece,Greece Basketball
Hungary,Hungary Basketball
Iceland,Iceland Basketball
Ireland,Ireland Basketball
Israel,Israel Basketball
Italy,Italy Basketball
Kosovo,Kosovo Basketball
Latvia,Latvia Basketball
Lithuania,Lithuania Basketball
Luxembourg,Luxembourg Basketball
Montenegro,Montenegro Basketball
Netherlands,Netherlands Basketball
Norway,Norway Basketball
Poland,Poland Basketball
Portugal,Portugal Basketball
Romania,Romania Basketball
Russia,Russia Basketball
Serbia,Serbia Basketball
Slovakia,Slovakia Basketball
Slovenia,Slovenia Basketball
Spain,Spain Basketball
Sweden,Sweden Basketball
Switzerland,Switzerland Basketball
Turkey,Turkey Basketball
Ukraine,Ukraine Basketball
Argentina,Argentina Basketball
Bahamas,Bahamas Basketball
Brazil,Brazil Basketball
Canada,Canada Basketball
Chile,Chile Basketball
Colombia,Colombia Basketball
Cuba,Cuba Basketball
Dominican Republic,Dominican Republic Basketball
Mexico,Mexico Basketball
Panama,Panama Basketball
Paraguay,Paraguay Basketball
Puerto Rico,Puerto Rico Basketball
Uruguay,Uruguay Basketball
USA,United States Basketball
